country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
CAN,59.28416,-122.01057,314.57,0.58,0.69,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.67,4.99,N
CAN,59.29003,-122.02398,306.71,0.58,0.7,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.42,1.89,N
CAN,59.29028,-122.01338,312.62,0.58,0.69,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.13,1.89,N
CAN,59.30616,-120.44137,296.57,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.24,2.13,N
CAN,59.30709,-120.43999,296.93,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.5,1.37,N
CAN,59.3125,-120.42531,297.26,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.45,0.93,N
CAN,59.31816,-122.70625,296.43,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,279.31,2.12,N
CAN,59.32119,-122.72461,302.03,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,280,4.65,N
CAN,59.32153,-122.71364,320.37,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.48,8.76,N
CAN,59.32187,-122.70261,330.92,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.96,8.76,N
CAN,59.32222,-122.69159,316.14,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.14,8.74,N
CAN,59.32417,-122.72873,310.36,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.39,5.31,N
CAN,59.32447,-122.71777,326.29,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.2,8.33,N
CAN,59.32478,-122.70673,349.54,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,288.63,8.33,N
CAN,59.32508,-122.69572,352.11,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,290.06,8.58,N
CAN,59.32538,-122.68465,316.32,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.28,8.58,N
CAN,59.32713,-122.74692,307.88,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.47,2.78,N
CAN,59.32747,-122.736,318.45,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.18,4.65,N
CAN,59.32781,-122.72504,326.11,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,288.59,4.65,N
